Month,Model,F1_Macro
2024-02,Random Forest,0.36513978767499894
2024-02,Logistic Regression,0.38255503637434235
2024-02,SVM,0.2065074445756264
2024-02,KNN,0.3473238770685579
2024-02,Decision Tree,0.31044434492710354
2024-03,Random Forest,0.27538044611215345
2024-03,Logistic Regression,0.3149410932101078
2024-03,SVM,0.2994995548187038
2024-03,KNN,0.31820439868129885
2024-03,Decision Tree,0.29201320132013203
2024-04,Random Forest,0.2827507814720091
2024-04,Logistic Regression,0.28930296756383717
2024-04,SVM,0.33859557481604724
2024-04,KNN,0.40903777695127785
2024-04,Decision Tree,0.2627303967510153
2024-05,Random Forest,0.3265546713822576
2024-05,Logistic Regression,0.27935905545013706
2024-05,SVM,0.36250959442448805
2024-05,KNN,0.2978811798919817
2024-05,Decision Tree,0.37338183604242453
2024-06,Random Forest,0.3036896479021716
2024-06,Logistic Regression,0.25396825396825395
2024-06,SVM,0.31034204726666786
2024-06,KNN,0.27244406683659017
2024-06,Decision Tree,0.29688443184018404
2024-07,Random Forest,0.3071236559139785
2024-07,Logistic Regression,0.23639490884072925
2024-07,SVM,0.24823807921411664
2024-07,KNN,0.3078299464370781
2024-07,Decision Tree,0.3061937940174008
2024-08,Random Forest,0.3582955750506121
2024-08,Logistic Regression,0.39015711751560805
2024-08,SVM,0.38274376824997214
2024-08,KNN,0.3587613278529731
2024-08,Decision Tree,0.3676915322580645
2024-09,Random Forest,0.3569018269946788
2024-09,Logistic Regression,0.3621438979537768
2024-09,SVM,0.3619957528921594
2024-09,KNN,0.33281827863297514
2024-09,Decision Tree,0.34462932598870893
2024-10,Random Forest,0.3698824631125563
2024-10,Logistic Regression,0.36691356762451094
2024-10,SVM,0.35982239566315505
2024-10,KNN,0.3356024487420539
2024-10,Decision Tree,0.34567365561565494
2024-11,Random Forest,0.3523823670882494
2024-11,Logistic Regression,0.39164762375320383
2024-11,SVM,0.31334815384071546
2024-11,KNN,0.3211465384158651
2024-11,Decision Tree,0.32652019732161014
2024-12,Random Forest,0.348210855718738
2024-12,Logistic Regression,0.3622866794781068
2024-12,SVM,0.359731519548331
2024-12,KNN,0.3321747668727309
2024-12,Decision Tree,0.3447722528896338
