Model,Class,precision,recall,f1-score,support
Random Forest,FELONY,0.4744094488188976,0.4744094488188976,0.4744094488188976,508.0
Random Forest,MISDEMEANOR,0.5126984126984127,0.5627177700348432,0.5365448504983389,574.0
Random Forest,VIOLATION,0.26582278481012656,0.15555555555555556,0.19626168224299065,135.0
Random Forest,accuracy,0.4806902218570255,0.4806902218570255,0.4806902218570255,0.4806902218570255
Random Forest,macro avg,0.41764354877581233,0.39756092480309874,0.4024053271867423,1217.0
Random Forest,weighted avg,0.469330291568,0.4806902218570255,0.47286119251343484,1217.0
Logistic Regression,FELONY,0.49544072948328266,0.32086614173228345,0.38948626045400236,508.0
Logistic Regression,MISDEMEANOR,0.5442708333333334,0.3641114982578397,0.4363256784968685,574.0
Logistic Regression,VIOLATION,0.13690476190476192,0.5111111111111111,0.215962441314554,135.0
Logistic Regression,accuracy,0.36236647493837304,0.36236647493837304,0.36236647493837304,0.36236647493837304
Logistic Regression,macro avg,0.3922054415737926,0.39869625036707806,0.3472581267551416,1217.0
Logistic Regression,weighted avg,0.47869966455873775,0.36236647493837304,0.3923294078433036,1217.0
SVM,FELONY,0.5,0.1673228346456693,0.25073746312684364,508.0
SVM,MISDEMEANOR,0.5972222222222222,0.22473867595818817,0.3265822784810127,574.0
SVM,VIOLATION,0.14199759326113118,0.8740740740740741,0.2443064182194617,135.0
SVM,accuracy,0.27280197206244866,0.27280197206244866,0.27280197206244866,0.27280197206244866
SVM,macro avg,0.4130732718277845,0.42204519489264386,0.273875386609106,1217.0
SVM,weighted avg,0.5061423423548137,0.27280197206244866,0.2857964055679254,1217.0
KNN,FELONY,0.4503937007874016,0.562992125984252,0.5004374453193351,508.0
KNN,MISDEMEANOR,0.515426497277677,0.49477351916376305,0.5048888888888889,574.0
KNN,VIOLATION,0.3225806451612903,0.07407407407407407,0.12048192771084337,135.0
KNN,accuracy,0.47658175842235007,0.47658175842235007,0.47658175842235007,0.47658175842235007
KNN,macro avg,0.42946694774212296,0.3772799064073631,0.3752694206396891,1217.0
KNN,weighted avg,0.46688841128525943,0.47658175842235007,0.46038907533722945,1217.0
Decision Tree,FELONY,0.45579567779960706,0.4566929133858268,0.45624385447394294,508.0
Decision Tree,MISDEMEANOR,0.49909584086799275,0.4808362369337979,0.4897959183673469,574.0
Decision Tree,VIOLATION,0.2,0.22962962962962963,0.21379310344827587,135.0
Decision Tree,accuracy,0.4428923582580115,0.4428923582580115,0.4428923582580115,0.4428923582580115
Decision Tree,macro avg,0.3849638395558666,0.3890529266497514,0.3866109587631886,1217.0
Decision Tree,weighted avg,0.4478432349880265,0.4428923582580115,0.4451740379467028,1217.0
