Model,Class,precision,recall,f1-score,support
Random Forest,FELONY,0.4740882917466411,0.4862204724409449,0.4800777453838678,508.0
Random Forest,MISDEMEANOR,0.511326860841424,0.5505226480836237,0.5302013422818792,574.0
Random Forest,VIOLATION,0.28205128205128205,0.16296296296296298,0.20657276995305165,135.0
Random Forest,accuracy,0.4806902218570255,0.4806902218570255,0.4806902218570255,0.4806902218570255
Random Forest,macro avg,0.42248881154644896,0.39990202782917716,0.40561728587293294,1217.0
Random Forest,weighted avg,0.4703495426517619,0.4806902218570255,0.47337912002338983,1217.0
Logistic Regression,FELONY,0.4924924924924925,0.3228346456692913,0.39001189060642094,508.0
Logistic Regression,MISDEMEANOR,0.5406824146981627,0.3588850174216028,0.431413612565445,574.0
Logistic Regression,VIOLATION,0.13717693836978131,0.5111111111111111,0.21630094043887146,135.0
Logistic Regression,accuracy,0.3607230895645029,0.3607230895645029,0.3607230895645029,0.3607230895645029
Logistic Regression,macro avg,0.3901172818534789,0.3976102580673351,0.34590881453691247,1217.0
Logistic Regression,weighted avg,0.4758067205446606,0.3607230895645029,0.3902695817583196,1217.0
SVM,FELONY,0.5,0.17125984251968504,0.25513196480938416,508.0
SVM,MISDEMEANOR,0.6009389671361502,0.2229965156794425,0.3252858958068615,574.0
SVM,VIOLATION,0.14216867469879518,0.8740740740740741,0.24455958549222798,135.0
SVM,accuracy,0.2736236647493837,0.2736236647493837,0.2736236647493837,0.2736236647493837
SVM,macro avg,0.4143692139449818,0.4227768107577339,0.2749924820361579,1217.0
SVM,weighted avg,0.5079143288582478,0.2736236647493837,0.2870474004583044,1217.0
KNN,FELONY,0.45839874411302983,0.5748031496062992,0.5100436681222708,508.0
KNN,MISDEMEANOR,0.5245009074410163,0.5034843205574913,0.5137777777777778,574.0
KNN,VIOLATION,0.3103448275862069,0.06666666666666667,0.10975609756097561,135.0
KNN,accuracy,0.4847986852917009,0.4847986852917009,0.4847986852917009,0.4847986852917009
KNN,macro avg,0.43108149304675103,0.3816513789434857,0.37785918115367473,1217.0
KNN,weighted avg,0.4731525345971244,0.4847986852917009,0.4674015620552915,1217.0
Decision Tree,FELONY,0.45742574257425744,0.4547244094488189,0.456071076011846,508.0
Decision Tree,MISDEMEANOR,0.49376114081996436,0.48257839721254353,0.4881057268722467,574.0
Decision Tree,VIOLATION,0.18543046357615894,0.2074074074074074,0.1958041958041958,135.0
Decision Tree,accuracy,0.44042728019720623,0.44042728019720623,0.44042728019720623,0.44042728019720623
Decision Tree,macro avg,0.37887244899012695,0.38157007135625665,0.3799936662294295,1217.0
Decision Tree,weighted avg,0.4443913596065438,0.44042728019720623,0.44230925248336384,1217.0
