cmplnt_num,addr_pct_cd,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_to_dt,cmplnt_to_tm,crm_atpt_cptd_cd,hadevelopt,jurisdiction_code,juris_desc,ky_cd,law_cat_cd,loc_of_occur_desc,ofns_desc,parks_nm,patrol_boro,pd_cd,pd_desc,prem_typ_desc,rpt_dt,station_name,susp_age_group,susp_race,susp_sex,vic_age_group,vic_race,vic_sex,x_coord_cd,y_coord_cd,latitude,longitude,lat_lon,geocoded_column,housing_psa,transit_district,day_of_week,month,hour_of_day,sus_race_code,vic_race_code,borough_code,is_completed,year,predicted_label
298992911,60,BROOKLYN,2025-01-05,1900-01-01 00:01:00,2025-01-05T00:00:00.000,23:59:00,COMPLETED,(null),0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,(null),PATROL BORO BKLYN SOUTH,155,RAPE 2,RESIDENCE - APT. HOUSE,2025-01-06T00:00:00.000,(null),UNKNOWN,BLACK,M,<18,BLACK,F,990784,149362,40.5766459780433,-73.9764803960699,"{'latitude': '40.5766459780433', 'longitude': '-73.9764803960699'}","{'type': 'Point', 'coordinates': [-73.9764803960699, 40.5766459780433]}",,,6,1,0,3,3,2,1,2025,VIOLATION
300247881,62,BROOKLYN,2025-01-28,1900-01-01 17:40:00,2025-01-28T00:00:00.000,17:50:00,COMPLETED,(null),0,N.Y. POLICE DEPT,106,FELONY,(null),FELONY ASSAULT,(null),PATROL BORO BKLYN SOUTH,109,"ASSAULT 2,1,UNCLASSIFIED",STREET,2025-01-29T00:00:00.000,(null),UNKNOWN,WHITE,M,<18,WHITE,M,989096,160702,40.607764855757225,-73.98254727922638,"{'latitude': '40.607764855757225', 'longitude': '-73.98254727922638'}","{'type': 'Point', 'coordinates': [-73.98254727922638, 40.607764855757225]}",,,1,1,17,6,6,2,1,2025,VIOLATION
298920178,66,BROOKLYN,2025-01-05,1900-01-01 10:45:00,2025-01-05T00:00:00.000,10:46:00,COMPLETED,(null),0,N.Y. POLICE DEPT,106,FELONY,FRONT OF,FELONY ASSAULT,(null),PATROL BORO BKLYN SOUTH,109,"ASSAULT 2,1,UNCLASSIFIED",STREET,2025-01-05T00:00:00.000,(null),45-64,WHITE HISPANIC,M,65+,WHITE,M,989996,166816,40.624555,-73.9793,"{'latitude': '40.624555', 'longitude': '-73.9793'}","{'type': 'Point', 'coordinates': [-73.9793, 40.624555]}",,,6,1,10,7,6,2,1,2025,VIOLATION
303020413,75,BROOKLYN,2025-02-14,1900-01-01 00:01:00,2025-02-21T00:00:00.000,23:59:00,COMPLETED,(null),0,N.Y. POLICE DEPT,104,FELONY,FRONT OF,RAPE,(null),PATROL BORO BKLYN NORTH,155,RAPE 2,RESIDENCE - APT. HOUSE,2025-03-17T00:00:00.000,(null),25-44,BLACK,M,<18,BLACK,F,1017036,183890,40.6713598203364,-73.8818110231735,"{'latitude': '40.6713598203364', 'longitude': '-73.8818110231735'}","{'type': 'Point', 'coordinates': [-73.8818110231735, 40.6713598203364]}",,,4,2,0,3,3,2,1,2025,VIOLATION
301833434,90,BROOKLYN,2025-02-28,1900-01-01 10:35:00,2025-02-28T00:00:00.000,10:40:00,COMPLETED,(null),0,N.Y. POLICE DEPT,107,FELONY,FRONT OF,BURGLARY,(null),PATROL BORO BKLYN NORTH,231,"BURGLARY,TRUCK DAY",STREET,2025-02-28T00:00:00.000,(null),UNKNOWN,UNKNOWN,U,25-44,WHITE,M,995471,197580,40.708992,-73.959526,"{'latitude': '40.708992', 'longitude': '-73.959526'}","{'type': 'Point', 'coordinates': [-73.959526, 40.708992]}",,,4,2,10,5,6,2,1,2025,VIOLATION
303690050,71,BROOKLYN,2025-03-26,1900-01-01 17:20:00,2025-03-26T00:00:00.000,17:50:00,COMPLETED,(null),0,N.Y. POLICE DEPT,106,FELONY,(null),FELONY ASSAULT,(null),PATROL BORO BKLYN SOUTH,109,"ASSAULT 2,1,UNCLASSIFIED",STREET,2025-03-26T00:00:00.000,(null),18-24,BLACK,F,25-44,BLACK,M,997935,182677,40.66807228,-73.95066932,"{'latitude': '40.66807228', 'longitude': '-73.95066932'}","{'type': 'Point', 'coordinates': [-73.95066932, 40.66807228]}",,,2,3,17,3,3,2,1,2025,VIOLATION
300107712,52,BRONX,2025-01-26,1900-01-01 08:39:00,,(null),COMPLETED,(null),0,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,(null),PATROL BORO BRONX,101,ASSAULT 3,OTHER,2025-01-26T00:00:00.000,(null),65+,BLACK,M,45-64,BLACK,M,1011162,254856,40.866164,-73.902699,"{'latitude': '40.866164', 'longitude': '-73.902699'}","{'type': 'Point', 'coordinates': [-73.902699, 40.866164]}",,,6,1,8,3,3,1,1,2025,VIOLATION
300419144,49,BRONX,2025-01-28,1900-01-01 08:00:00,2025-01-28T00:00:00.000,08:25:00,COMPLETED,(null),0,N.Y. POLICE DEPT,578,VIOLATION,(null),HARRASSMENT 2,(null),PATROL BORO BRONX,638,"HARASSMENT,SUBD 3,4,5",STREET,2025-01-28T00:00:00.000,(null),18-24,BLACK,U,<18,BLACK,F,1023676,256104,40.86953274198829,-73.85744945663687,"{'latitude': '40.86953274198829', 'longitude': '-73.85744945663687'}","{'type': 'Point', 'coordinates': [-73.85744945663687, 40.86953274198829]}",,,1,1,8,3,3,1,1,2025,VIOLATION
299840708,49,BRONX,2025-01-19,1900-01-01 17:00:00,,(null),COMPLETED,(null),0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,(null),PATROL BORO BRONX,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,2025-01-20T00:00:00.000,(null),UNKNOWN,UNKNOWN,M,25-44,WHITE,M,1025157,249457,40.851292,-73.852134,"{'latitude': '40.851292', 'longitude': '-73.852134'}","{'type': 'Point', 'coordinates': [-73.852134, 40.851292]}",,,6,1,17,5,6,1,1,2025,VIOLATION
298932460,120,STATEN ISLAND,2025-01-03,1900-01-01 08:20:00,2025-01-03T00:00:00.000,08:25:00,COMPLETED,(null),0,N.Y. POLICE DEPT,351,MISDEMEANOR,INSIDE,CRIMINAL MISCHIEF & RELATED OF,(null),PATROL BORO STATEN ISLAND,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",CHURCH,2025-01-03T00:00:00.000,(null),25-44,BLACK,M,65+,BLACK,F,962759,171273,40.636765,-74.077431,"{'latitude': '40.636765', 'longitude': '-74.077431'}","{'type': 'Point', 'coordinates': [-74.077431, 40.636765]}",,,4,1,8,3,3,5,1,2025,VIOLATION
